spotify_track_uri,ts_x,username,platform,ms_played_x,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name_x,master_metadata_album_artist_name_x,master_metadata_album_album_name_x,reason_start,reason_end,shuffle,skipped,offline,track_id,master_metadata_track_name_y,master_metadata_album_artist_name_y,master_metadata_album_album_name_y,ts_y,ms_played_y,Track URI,Track Name_releases,Artist URI(s)_releases,Artist Name(s)_releases,Album URI_releases,Album Name_releases,Album Artist URI(s)_releases,Album Artist Name(s)_releases,Album Release Date_releases,Album Image URL_releases,Disc Number_releases,Track Number_releases,Track Duration (ms)_releases,Track Preview URL_releases,Explicit_releases,Popularity_releases,ISRC_releases,Added By_releases,Added At_releases,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Genres,Label,Copyrights
spotify:track:6zvLThHuhPRwIpvDtn78GO,2017-04-04 06:32:04+00:00,willexmen,"Android OS 6.0.1 API 23 (OnePlus, ONE E1003)",94610,SE,,,Her,Rico P,REbirth on the ROCK,trackdone,,True,False,True,6zvLThHuhPRwIpvDtn78GO,Her,Rico P,REbirth on the ROCK,2019-08-27 12:07:03+00:00,1490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:1jWgGy5JQkeDWwaOvWnw6B,2017-04-04 06:32:04+00:00,willexmen,"Android OS 6.0.1 API 23 (OnePlus, ONE E1003)",175478,SE,,,1st Summer Night,Xavier Wulf,Project X,trackdone,,False,False,True,1jWgGy5JQkeDWwaOvWnw6B,1st Summer Night,Xavier Wulf,Project X,2016-12-13 15:49:32+00:00,1244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:1s9VKFuKmouCH4TxMWHaRs,2017-04-04 06:32:04+00:00,willexmen,"Android OS 6.0.1 API 23 (OnePlus, ONE E1003)",44961,SE,,,Chasing Shadows,Santigold,99 Cents,trackdone,,False,False,True,1s9VKFuKmouCH4TxMWHaRs,Chasing Shadows,Santigold,99 Cents,2019-08-08 11:17:17+00:00,1920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:6sUe8AlvOhqh3cpzLR2YYo,2017-04-04 06:32:04+00:00,willexmen,"Android OS 6.0.1 API 23 (OnePlus, ONE E1003)",151916,SE,,,Wulf Takahashi,Xavier Wulf,Project X,trackdone,,False,False,True,6sUe8AlvOhqh3cpzLR2YYo,Wulf Takahashi,Xavier Wulf,Project X,2016-12-13 16:01:24+00:00,136437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:1uh9AadCenlpEsGpl7Ywdb,2017-04-04 06:32:04+00:00,willexmen,"Android OS 6.0.1 API 23 (OnePlus, ONE E1003)",235128,SE,,,Life Changes,Casey Veggies,Life Changes,trackdone,,True,False,True,1uh9AadCenlpEsGpl7Ywdb,Life Changes,Casey Veggies,Life Changes,2014-05-09 19:25:47+00:00,17970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:5C5nmb6gJ4msixwmD6oxt9,2017-04-04 06:32:04+00:00,willexmen,"Android OS 6.0.1 API 23 (OnePlus, ONE E1003)",98572,SE,,,Crowned In Despair,Sonic Syndicate,Eden Fire,fwdbtn,,True,False,True,5C5nmb6gJ4msixwmD6oxt9,Crowned In Despair,Sonic Syndicate,Eden Fire,2020-06-13 18:35:06+00:00,6196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:6Dcc2Qt1yoBAsxL5qFm7RQ,2017-04-04 06:32:04+00:00,willexmen,"Android OS 6.0.1 API 23 (OnePlus, ONE E1003)",110713,SE,,,Dead Time,Kodak Black,Project Baby,backbtn,,True,False,True,6Dcc2Qt1yoBAsxL5qFm7RQ,Dead Time,Kodak Black,Project Baby,2019-08-27 12:07:03+00:00,1180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:2d5MZ5AkkHFTi6MiEKFD6d,2017-04-04 06:32:04+00:00,willexmen,"Android OS 6.0.1 API 23 (OnePlus, ONE E1003)",278240,SE,,,Storms Never Last (Live at St. Pancras Church),Phosphorescent,Muchacho De Lujo,trackdone,,False,False,True,2d5MZ5AkkHFTi6MiEKFD6d,Storms Never Last (Live at St. Pancras Church),Phosphorescent,Muchacho De Lujo,2021-04-23 08:26:15+00:00,277937.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:6uh5zt49IjuuN733Vn6LLO,2017-04-04 06:32:04+00:00,willexmen,"Android OS 6.0.1 API 23 (OnePlus, ONE E1003)",408506,SE,,,Down To Go (Live at St. Pancras Church),Phosphorescent,Muchacho De Lujo,trackdone,,False,False,True,6uh5zt49IjuuN733Vn6LLO,Down To Go (Live at St. Pancras Church),Phosphorescent,Muchacho De Lujo,2019-08-27 12:07:03+00:00,820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:0sMm9WiO3B001nZQm8Qexw,2017-04-05 18:08:22+00:00,willexmen,Windows 10 (10.0.14393; x64),94520,SE,,,Everybody,Logic,Everybody,clickrow,,False,False,True,0sMm9WiO3B001nZQm8Qexw,Everybody,Logic,Everybody,2017-04-03 14:35:03+00:00,156800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:2HxnbQJXrFKphvGhzveiDn,2017-04-05 18:09:27+00:00,willexmen,Windows 10 (10.0.14393; x64),52430,SE,,,Up Next,Robin Banks,The Entertainment,clickrow,,True,False,True,2HxnbQJXrFKphvGhzveiDn,Up Next,Robin Banks,The Entertainment,2019-09-21 08:07:18+00:00,246334.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:0sMm9WiO3B001nZQm8Qexw,2017-04-05 18:11:06+00:00,willexmen,Windows 10 (10.0.14393; x64),98920,SE,,,Everybody,Logic,Everybody,clickrow,,False,False,True,0sMm9WiO3B001nZQm8Qexw,Everybody,Logic,Everybody,2017-04-03 14:35:03+00:00,156800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:3GnLo84IkdSWCPYt6tnLll,2017-04-05 18:13:54+00:00,willexmen,Windows 10 (10.0.14393; x64),167940,SE,,,HUMBLE.,Kendrick Lamar,HUMBLE.,clickrow,,False,False,True,3GnLo84IkdSWCPYt6tnLll,HUMBLE.,Kendrick Lamar,HUMBLE.,2017-04-03 14:35:03+00:00,177604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:1s9VKFuKmouCH4TxMWHaRs,2017-04-05 18:13:58+00:00,willexmen,Windows 10 (10.0.14393; x64),3980,SE,,,Chasing Shadows,Santigold,99 Cents,clickrow,,False,False,True,1s9VKFuKmouCH4TxMWHaRs,Chasing Shadows,Santigold,99 Cents,2019-08-08 11:17:17+00:00,1920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:1xFHst3HwjbzxFB4IEYws0,2017-04-05 18:14:29+00:00,willexmen,Windows 10 (10.0.14393; x64),31300,SE,,,Succubus,Craig Xen,Succubus,clickrow,,False,False,True,1xFHst3HwjbzxFB4IEYws0,Succubus,Craig Xen,Succubus,2019-09-07 14:35:14+00:00,791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:4lFxQyVeTYkM010VUtCp6o,2017-04-05 18:14:33+00:00,willexmen,Windows 10 (10.0.14393; x64),3600,SE,,,Endzeit,Heaven Shall Burn,Iconoclast (Pt. 1: The Final Resistance),clickrow,,False,False,True,4lFxQyVeTYkM010VUtCp6o,Endzeit,Heaven Shall Burn,Iconoclast (Pt. 1: The Final Resistance),2019-08-06 17:12:27+00:00,25456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:2e7FfubAC1P5SbVTIfj0ih,2017-04-05 18:14:37+00:00,willexmen,Windows 10 (10.0.14393; x64),3130,SE,,,Blue Suede,Vince Staples,Hell Can Wait,clickrow,,False,False,True,2e7FfubAC1P5SbVTIfj0ih,Blue Suede,Vince Staples,Hell Can Wait,2017-01-08 08:40:44+00:00,218040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:7sO0dVFCfixpLshm4daMH3,2017-04-05 18:14:49+00:00,willexmen,Windows 10 (10.0.14393; x64),12450,SE,,,What The Price,Migos,Culture,clickrow,,False,False,True,7sO0dVFCfixpLshm4daMH3,What The Price,Migos,Culture,2019-08-08 11:17:17+00:00,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:3rOSwuTsUlJp0Pu0MkN8r8,2017-04-05 18:18:13+00:00,willexmen,Windows 10 (10.0.14393; x64),204600,SE,,,Mask Off,Future,FUTURE,clickrow,,False,False,True,3rOSwuTsUlJp0Pu0MkN8r8,Mask Off,Future,FUTURE,2017-03-11 16:45:29+00:00,203962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:32BanFMLJnZsO7jwxQTayr,2017-04-05 18:18:24+00:00,willexmen,Windows 10 (10.0.14393; x64),9860,SE,,,64 Gigabit Mario Epic,8 Bit Weapon,MeanTime EP (Internet Edition),trackdone,,False,False,True,32BanFMLJnZsO7jwxQTayr,64 Gigabit Mario Epic,8 Bit Weapon,MeanTime EP (Internet Edition),2019-08-01 15:09:34+00:00,1999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:6s1uObcOTyiLlm22qRf12y,2017-04-05 18:18:25+00:00,willexmen,Windows 10 (10.0.14393; x64),1170,SE,,,Terminal Sex,Shakewell,Terminal Sex,clickrow,,False,False,True,6s1uObcOTyiLlm22qRf12y,Terminal Sex,Shakewell,Terminal Sex,2020-03-29 18:34:44+00:00,4745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:2wXhFFVeYnoEhNLLWJjQ9j,2017-04-08 06:52:46+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",334479,US,,,Crown Violet,Azizi Gibson,Backward Books (Reloaded),appload,,True,False,True,2wXhFFVeYnoEhNLLWJjQ9j,Crown Violet,Azizi Gibson,Backward Books (Reloaded),2019-08-29 10:48:53+00:00,88171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:3YZDsIF9YCM8pix6Rf3IG8,2017-04-08 06:58:06+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",319333,US,,,Christ Jesus,Deer Tick,War Elephant,trackdone,,True,False,True,3YZDsIF9YCM8pix6Rf3IG8,Christ Jesus,Deer Tick,War Elephant,2019-08-08 17:30:38+00:00,760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:69dc3PsGuKvc7Pm3MnOEdq,2017-04-08 07:02:55+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",288298,US,,,The Eastside (feat. Cashalot Kirby),Ku-Laid Thee Entertainer,The Drive Thru,trackdone,,True,False,True,69dc3PsGuKvc7Pm3MnOEdq,The Eastside (feat. Cashalot Kirby),Ku-Laid Thee Entertainer,The Drive Thru,2017-02-18 01:38:26+00:00,64874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:2ZNhMgvNFQwl4s9INifPvF,2017-04-08 07:03:02+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",5526,US,,,"Götterdämmerung, WWV 86D / Act 3: Trauermarsch",Richard Wagner,Wagner: Der Ring des Nibelungen,trackdone,,False,False,True,2ZNhMgvNFQwl4s9INifPvF,"Götterdämmerung, WWV 86D / Act 3: Trauermarsch",Richard Wagner,Wagner: Der Ring des Nibelungen,2019-08-01 15:09:34+00:00,17879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:69dc3PsGuKvc7Pm3MnOEdq,2017-04-08 07:03:03+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",1286,US,,,The Eastside (feat. Cashalot Kirby),Ku-Laid Thee Entertainer,The Drive Thru,backbtn,,False,False,True,69dc3PsGuKvc7Pm3MnOEdq,The Eastside (feat. Cashalot Kirby),Ku-Laid Thee Entertainer,The Drive Thru,2017-02-18 01:38:26+00:00,64874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:2wXhFFVeYnoEhNLLWJjQ9j,2017-04-08 07:03:06+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",400,US,,,Crown Violet,Azizi Gibson,Backward Books (Reloaded),backbtn,,False,False,True,2wXhFFVeYnoEhNLLWJjQ9j,Crown Violet,Azizi Gibson,Backward Books (Reloaded),2019-08-29 10:48:53+00:00,88171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:2YcVKlQul01z29cPzMFfvy,2017-04-08 07:06:50+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",223553,US,,,ROCKABYE BABY,Joey Bada$$,ROCKABYE BABY,backbtn,,False,False,True,2YcVKlQul01z29cPzMFfvy,ROCKABYE BABY,Joey Bada$$,ROCKABYE BABY,2019-09-21 08:08:54+00:00,834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:2wXhFFVeYnoEhNLLWJjQ9j,2017-04-08 07:07:00+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",8324,US,,,Crown Violet,Azizi Gibson,Backward Books (Reloaded),trackdone,,False,False,True,2wXhFFVeYnoEhNLLWJjQ9j,Crown Violet,Azizi Gibson,Backward Books (Reloaded),2019-08-29 10:48:53+00:00,88171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:2HxnbQJXrFKphvGhzveiDn,2017-04-08 07:07:51+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",49435,US,,,Up Next,Robin Banks,The Entertainment,clickrow,,False,False,True,2HxnbQJXrFKphvGhzveiDn,Up Next,Robin Banks,The Entertainment,2019-09-21 08:07:18+00:00,246334.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:0sMm9WiO3B001nZQm8Qexw,2017-04-08 07:10:34+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",162373,US,,,Everybody,Logic,Everybody,clickrow,,False,False,True,0sMm9WiO3B001nZQm8Qexw,Everybody,Logic,Everybody,2017-04-03 14:35:03+00:00,156800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:41eiwHEX8iegmqmS2cf7oX,2017-04-08 07:11:30+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",54498,US,,,The Heart Part 4,Kendrick Lamar,The Heart Part 4,trackdone,,False,False,True,41eiwHEX8iegmqmS2cf7oX,The Heart Part 4,Kendrick Lamar,The Heart Part 4,2017-04-03 14:35:03+00:00,244153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:3GnLo84IkdSWCPYt6tnLll,2017-04-08 07:14:27+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",177604,US,,,HUMBLE.,Kendrick Lamar,HUMBLE.,fwdbtn,,False,False,True,3GnLo84IkdSWCPYt6tnLll,HUMBLE.,Kendrick Lamar,HUMBLE.,2017-04-03 14:35:03+00:00,177604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:1HvIpJOJU4g0GSfnuTTCHT,2017-04-08 07:17:28+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",179436,US,,,Heaven For The Sinner - Live,Bonobo,The North Borders Tour. — Live.,trackdone,,False,False,True,1HvIpJOJU4g0GSfnuTTCHT,Heaven For The Sinner - Live,Bonobo,The North Borders Tour. — Live.,2019-08-08 15:42:09+00:00,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:2HxnbQJXrFKphvGhzveiDn,2017-04-08 07:17:31+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",2332,US,,,Up Next,Robin Banks,The Entertainment,clickrow,,False,False,True,2HxnbQJXrFKphvGhzveiDn,Up Next,Robin Banks,The Entertainment,2019-09-21 08:07:18+00:00,246334.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:2YcVKlQul01z29cPzMFfvy,2017-04-08 07:21:14+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",223553,US,,,ROCKABYE BABY,Joey Bada$$,ROCKABYE BABY,clickrow,,False,False,True,2YcVKlQul01z29cPzMFfvy,ROCKABYE BABY,Joey Bada$$,ROCKABYE BABY,2019-09-21 08:08:54+00:00,834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:0sMm9WiO3B001nZQm8Qexw,2017-04-08 07:23:57+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",162373,US,,,Everybody,Logic,Everybody,trackdone,,False,False,True,0sMm9WiO3B001nZQm8Qexw,Everybody,Logic,Everybody,2017-04-03 14:35:03+00:00,156800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:41eiwHEX8iegmqmS2cf7oX,2017-04-08 07:28:45+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",288554,US,,,The Heart Part 4,Kendrick Lamar,The Heart Part 4,trackdone,,False,False,True,41eiwHEX8iegmqmS2cf7oX,The Heart Part 4,Kendrick Lamar,The Heart Part 4,2017-04-03 14:35:03+00:00,244153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:2HxnbQJXrFKphvGhzveiDn,2017-04-08 07:28:49+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",2175,US,,,Up Next,Robin Banks,The Entertainment,clickrow,,False,False,True,2HxnbQJXrFKphvGhzveiDn,Up Next,Robin Banks,The Entertainment,2019-09-21 08:07:18+00:00,246334.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:2YcVKlQul01z29cPzMFfvy,2017-04-08 07:32:32+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",223553,US,,,ROCKABYE BABY,Joey Bada$$,ROCKABYE BABY,clickrow,,False,False,True,2YcVKlQul01z29cPzMFfvy,ROCKABYE BABY,Joey Bada$$,ROCKABYE BABY,2019-09-21 08:08:54+00:00,834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:0sMm9WiO3B001nZQm8Qexw,2017-04-08 07:34:54+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",140853,US,,,Everybody,Logic,Everybody,trackdone,,False,False,True,0sMm9WiO3B001nZQm8Qexw,Everybody,Logic,Everybody,2017-04-03 14:35:03+00:00,156800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:27B4XSbeZNesSFOjQElIoU,2017-04-08 07:34:56+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",2015,US,,,Indelible,DNTST,Indelible,clickrow,,False,False,True,27B4XSbeZNesSFOjQElIoU,Indelible,DNTST,Indelible,2019-08-08 15:42:09+00:00,650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:1TzzY7VHwODAZ7YN3SXBpr,2017-04-08 07:39:20+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",262945,US,,,"Cozy Boy, so Relax",NxxxxxS,Fujita Scale,clickrow,,False,False,True,1TzzY7VHwODAZ7YN3SXBpr,"Cozy Boy, so Relax",NxxxxxS,Fujita Scale,2019-08-08 11:17:17+00:00,1933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:27B4XSbeZNesSFOjQElIoU,2017-04-08 07:41:20+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",119002,US,,,Indelible,DNTST,Indelible,backbtn,,False,False,True,27B4XSbeZNesSFOjQElIoU,Indelible,DNTST,Indelible,2019-08-08 15:42:09+00:00,650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:1TzzY7VHwODAZ7YN3SXBpr,2017-04-08 07:47:21+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",361122,US,,,"Cozy Boy, so Relax",NxxxxxS,Fujita Scale,fwdbtn,,False,False,True,1TzzY7VHwODAZ7YN3SXBpr,"Cozy Boy, so Relax",NxxxxxS,Fujita Scale,2019-08-08 11:17:17+00:00,1933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:0cBRmV3NkhS3FWwuyyB68d,2017-04-08 07:48:01+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",38016,US,,,Freak Hoe,Speaker Knockerz,Freak Hoe,trackdone,,False,False,True,0cBRmV3NkhS3FWwuyyB68d,Freak Hoe,Speaker Knockerz,Freak Hoe,2019-08-15 15:43:39+00:00,1560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:4Xnm2MVJTvb7V568MU9BBP,2017-04-08 07:50:23+00:00,willexmen,"Android OS 6.0.1 API 23 (samsung, SM-G930F)",141828,US,,,Distant Recall,Sorrow,Project Mooncircle 10th Anniversary Compilation,clickrow,,False,False,True,4Xnm2MVJTvb7V568MU9BBP,Distant Recall,Sorrow,Project Mooncircle 10th Anniversary Compilation,2019-08-04 18:10:16+00:00,740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
